10: 1.666000
100: 2.092000
1000: 25.345000
10000: 434.644000
100000: 43090.016000
10: 2.222000 -1
100: 2.070000 -1
1000: 24.332000 -1
10000: 404.759000 -1
100000: 43167.421000 -1
10: 2.438000 -1
10: 1.689000 1
100: 2.381000 1
10: 1.343000 -109
100: 0.661000 -1189
1000: 23.394000 -11989
10000: 445.994000 -119989
100000: 43596.125000 -1199989
10: 2.791000 -109
dist1.txt: 0.872000 -193
dist2.txt: 0.770000 -433
dist3.txt: 0.703000 -133
dist4.txt: 0.603000 -85
dist1.txt: 0.176000 -85
dist2.txt: 0.145000 -85
dist3.txt: 0.140000 -85
dist4.txt: 0.148000 -85
